,IGHV4-34,IGHV3-23,IGHV3-23D,IGHV1-69,IGHV4-39,IGHV4-59,IGHV1-18,IGHV1-2,IGHV3-21,IGHV4-4,IGHV3-53,IGHV3-48,IGHV1-46,IGHV5-51,IGHV1-24,IGHV3-7,IGHV4-31,IGHV4-61,IGHV3-15,IGHV1-8,IGHV2-5,IGHV3-9,IGHV3-11,IGHV3-30,IGHV3-30-5,IGHV3-33,IGHV6-1,IGHV3-74,IGHV2-70,IGHV3-49,IGHV1-58,IGHV5-10-1,IGHV3-13,IGHV3-43,IGHV2-26,IGHV3-73,IGHV3-72,IGHV3-20,IGHV3-64,IGHV4-28,IGHV1-45,IGHV4-30-2,IGHV1-3,IGHV3-64D,IGHV3-35,IGHV3-66,IGHV3-30-3,IGHV4-30-4,IGHV4-38-2,IGHV7-4-1,IGHV3-43D,IGHV3-52,IGHV2-70D,IGHV1-69-2,IGHV3-38-3,IGHV1-38-4,IGHV3-69-1,IGHV7-81
Human 1,0.1375099053745397,0.11259497506176293,0.11259497506176293,0.07828741900899641,0.0726005686850324,0.06437328112618282,0.042301775975388055,0.039271896704423624,0.03880576143196756,0.03503006572507342,0.021885051041812334,0.021115927842259824,0.018948398825339115,0.018109355334918194,0.016571108935813175,0.016524495408567565,0.01598843984524309,0.015545611336409826,0.011699995338647275,0.011630075047778866,0.011513541229664848,0.011140633011699996,0.010721111266489535,0.010231669230410665,0.010091828648673844,0.009788840721577402,0.006386053232648114,0.006246212650911295,0.004451591851955437,0.003286253670815271,0.003286253670815271,0.0028434251619820074,0.002680277816622384,0.001934461380692677,0.0011420314175173635,0.0011420314175173635,0.0006059758541928868,0.0005593623269472801,0.00020976087260523004,0.0001165338181140167,6.992029086841001e-05,4.6613527245606674e-05,2.3306763622803337e-05,2.3306763622803337e-05,2.3306763622803337e-05,2.3306763622803337e-05,2.3306763622803337e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human 10,0.1356645267040022,0.1322496926649365,0.1322496926649365,0.055620816828302146,0.05392705914492556,0.08460592815189182,0.034667395164595,0.007048217456631607,0.03991258024859992,0.010872831580385192,0.007403360196694441,0.024450211719710423,0.010517688840322361,0.016664390110640623,0.017046851523015983,0.014396940308700997,0.032044802622592544,8.195601693757683e-05,0.010490370168009834,0.0003551427400628329,0.007430678869006967,5.463734462505122e-05,0.005518371807130174,0.023685288894959706,0.007403360196694441,0.02584346400764923,0.0070755361289441335,0.006337931976505942,0.005381778445567546,0.004780767654691982,0.0019123070618767928,0.00379729545144106,0.0007922414970632427,0.011801666439011064,0.0019123070618767928,0.0015298456495014341,0.0005190547739379866,0.00038246141237535853,0.0013112962710012293,0.0,0.0,0.006747712061193826,0.009998634066384373,0.006856986750443928,0.0,0.008168283021445158,0.020980740336019668,0.009506897964758912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human 2,0.06375826665205159,0.09936424421791078,0.09936424421791078,0.04192699769812561,0.05529979173517483,0.07839161094669152,0.0427308268478936,0.03982608060214111,0.04017318864408637,0.0260513719902079,0.01066900507873872,0.028535934816763493,0.01689868098944061,0.0173005955643246,0.010888231210493624,0.021118784025722533,0.016807336767876064,0.014615075450327012,0.015473711133033724,0.025083123241623734,0.01494391464795937,0.03149548759545471,0.01940151266030911,0.03399831926632321,0.03374255544594249,0.011728598048887427,0.005754685958566261,0.008549819138441302,0.0015345829222843362,0.006978698527531148,0.0015163140779714274,0.0,0.004201834191969016,0.002722057802623406,0.0028499397128137673,0.001717271365413424,0.0008403668383938032,0.0014615075450327012,0.001863422119916694,7.307537725163506e-05,5.4806532938726295e-05,0.006430633198143886,7.307537725163506e-05,0.0,0.0,0.005681610581314626,0.02502831670868501,0.013043954839416859,3.653768862581753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human 3,0.03568947551233067,0.13535949982632858,0.13535949982632858,0.03534213268496005,0.05230982980201459,0.08634942688433483,0.03911080236193123,0.03244182007641542,0.04626606460576589,0.021274748176450156,0.013042723167766586,0.02724904480722473,0.017905522750955194,0.018825981243487323,0.008197290725946509,0.023810350816255644,0.027648489058700938,1.736714136853074e-05,0.021761028134769017,0.018044459881903438,0.008648836401528309,0.01597777005904828,0.017974991316429316,0.026467523445640847,0.025929142063216396,0.034456408475164985,0.009812434873219868,0.00821465786731504,0.003073984022229941,0.007485237929836749,0.0022403612365404653,0.004619659604029176,0.003403959708232025,0.002327196943383119,0.0029003126085446335,0.0025529697811740187,0.0007815213615838833,0.0011462313303230289,0.005053838138242445,0.0002605071205279611,8.68357068426537e-05,0.0,0.007311566516151441,0.004741229593608892,0.0,0.008388329281000348,0.0,0.0,0.0,0.00010420284821118444,1.736714136853074e-05,1.736714136853074e-05,0.0,0.0,0.0,0.0,0.0,0.0
Human 4,0.1054611547890777,0.09092061881815876,0.0908783498182433,0.08424211683151576,0.018006593963986812,0.05579507988840984,0.03808436892383126,0.010694056978611886,0.0413813509172373,0.017457096965085805,0.013568348972863301,0.024177867951644266,0.014709611970580776,0.0253613999492772,0.010736325978527347,0.020585002958829993,0.02451601995096796,0.015343646969312705,0.006255811987488376,0.020331388959337223,0.012300278975399441,0.028911995942176007,0.01246935497506129,0.03563276692873447,0.035041000929918,0.014329190971341619,0.007312536985374926,0.004565051990869896,0.003677402992645194,0.001521683996956632,0.002367063995265872,0.0,0.003888747992222504,0.001394876997210246,0.00274748499450503,0.000507227998985544,0.000929917998140164,0.000295882999408234,0.00042268999915462,0.00016907599966184801,0.0,0.014963225970073548,0.012765237974469525,0.0,0.0,0.008369261983261477,0.042142192915715616,0.014329190971341619,0.009172372981655253,0.00016907599966184801,0.0,0.0,0.00105672499788655,4.2268999915462003e-05,0.0,0.0,0.0,0.0
Human 5,0.08459048768445883,0.11407647155631137,0.1055735366723353,0.059163969499149704,0.06075484118711943,0.07756870919962697,0.04517527017389873,0.038921498710845354,0.04572384661802622,0.01692358330133304,0.01568928630204619,0.03412145482472983,0.014180701080695595,0.022738493609084427,0.0050469032859729,0.025673377585166492,0.02400021943057765,0.009216084261341817,0.017252729167809535,0.011410390037851775,0.012534971748313127,0.006226342640847002,0.014509846947172089,0.016896154479126665,0.0165395797904438,0.02718196280651709,0.013110977014646991,0.008694936639420702,0.0037851774644796755,0.005403477974655769,0.0028525975094629437,0.0,5.485764441274892e-05,0.00855779252838883,0.0021394481320972077,0.0028525975094629437,0.000658291732952987,0.0012342969992868507,0.0022217345987163312,5.485764441274892e-05,2.742882220637446e-05,0.007460639640133853,0.006144056174227879,0.0,0.0,0.00658291732952987,5.485764441274892e-05,0.0,0.0,0.006390915574085249,0.0,2.742882220637446e-05,0.0,0.0,0.0,0.0,0.0,0.0
Human 6,0.07481898632341111,0.09379799605061069,0.09379799605061069,0.12199224749506327,0.00021941051707745192,0.06527462883054194,0.042236524537409496,0.01272580999049221,0.04563738755211,0.010129452205075697,0.013530315219776202,0.03481313537628904,0.01491991516126673,0.02738974621516858,0.01572442039055072,0.030424925034739998,0.0037299787903166824,0.018393915014993052,0.032143640751846704,0.0,0.008776420683098076,0.0,0.013347473122211658,0.036641556351934466,0.017845388722299422,0.02062458860528048,0.012542967892927668,0.01111679953192423,0.008995831200175528,0.008922694361149711,0.005887515541578293,0.0059240839610912015,0.0022306735902874277,0.0,0.003144884078110144,0.002742631463468149,0.0005485262926936298,0.0,0.0003291157756161779,0.00010970525853872596,7.31368390258173e-05,0.0,0.01766254662473488,0.009471220653843341,3.656841951290865e-05,0.00010970525853872596,7.31368390258173e-05,0.0,0.043114166605719303,0.006143494478168653,0.009507789073356249,0.0,0.0020478314927228846,0.0001462736780516346,0.0001462736780516346,3.656841951290865e-05,0.0,0.0
Human 7,0.10683159124262481,0.09973344514660516,0.09973344514660516,0.0945221480128186,0.0267752852735931,0.0416604270867651,0.03926442840456438,0.022103087843301686,0.04267872652670041,0.02033603881517865,0.013207942735631495,0.03114798286860942,0.015064841714337057,0.028182934499386025,0.011860193476893587,0.019617239210518434,0.03126778280271946,0.012938392883883914,0.015753691335469767,0.019856839078738506,0.011111443888705861,0.02956063374165144,0.018568989787055616,0.03312468178142502,0.016652190841295038,0.02830273443349606,0.007876845667734883,0.006798646260744556,0.006588996376051993,0.006019946689029321,0.0022761987480906885,0.0,0.003983347809158705,0.0013776992422654167,0.0026655485339483064,0.0024259486657282336,0.0006289496540776903,0.0006888496211327084,0.0001497499176375453,0.00020964988469256341,0.0,0.005600646919644194,0.0051813471502590676,0.0,0.0,2.994998352750906e-05,0.0,0.0,0.007607295815987301,0.007547395848932283,0.0,0.0,0.0023360987151457065,0.00011979993411003624,0.0,0.0,2.994998352750906e-05,0.0
Human 8,0.11165872182273572,0.09784277288519028,0.09784277288519028,0.11726051008591204,0.059896043737039134,0.04750747353962996,0.03824297756591527,0.04987746088174302,0.03721957394091191,0.021787724542834827,0.021006705986911206,0.02620451913495462,0.017236271579004068,0.020279550779671973,0.009964719506611727,0.011338234898063612,0.0,0.015835824513209987,0.01699388650992432,0.011419029921090194,0.011769141687538714,0.011688346664512133,0.013546632194123508,0.020306482454014167,0.020010234036250032,0.0,0.00985699280924295,0.011095849828983867,0.006975303654628208,0.003366459292774232,0.0028278258059303545,0.003501117664485201,0.002773962457245967,0.001104198648029948,0.0029086208289569363,0.002208397296059896,0.0005386334868438771,0.0005924968355282648,8.079502302658157e-05,0.00026931674342193856,2.6931674342193854e-05,0.008214160674369126,8.079502302658157e-05,0.0,5.386334868438771e-05,5.386334868438771e-05,0.021760792868492633,0.011769141687538714,2.6931674342193854e-05,0.0,0.0,0.0,0.0030163475263257117,0.00010772669736877542,0.0,0.0,2.6931674342193854e-05,2.6931674342193854e-05
Human 9,0.12414939483663186,0.08508648901355774,0.0850345436600696,0.11217599085761779,0.030050386992883486,0.06326944054854293,0.0480494519765207,0.010518934081346423,0.054256921718352294,0.020336605890603085,0.015973196197600126,0.025972676744065244,0.01114227832320399,0.01797309230689315,0.014622617006908731,0.010700742818554881,0.023557217806867176,0.017219884681315255,0.010882551555763337,0.012155212716222535,0.011999376655758143,0.01223313074645473,0.013765518674354578,0.022622201444080826,0.008856682769726247,0.03456963274635084,0.008882655446470314,0.0070126227208976155,0.00540231676276557,0.004571191106955483,0.0029089397953353073,0.003532284037192873,0.002986857825567503,0.0010129343930185444,0.0024933769674302633,0.0031686665627759596,0.0003636174744169134,0.0007012622720897616,0.0002337540906965872,7.791803023219573e-05,5.194535348813049e-05,0.008830710092982183,0.012103267362734404,0.0,2.5972676744065244e-05,0.0001298633837203262,0.028024518206846396,2.5972676744065244e-05,0.008545010648797466,0.00038959015116097863,0.0,0.0,0.0013505791906913926,0.0,0.0,0.0,0.0,0.0
Kymouse 1,0.10041672410319488,0.05195796706501108,0.0,0.002619105686746477,0.13376525602553363,0.03059157856786877,0.01577825612096663,0.002004093015364713,0.033062232920143785,0.038883645964774616,0.007242304388857667,0.02611683120022904,0.002088922349348405,0.021684498499581154,0.0008482933398369156,0.045807840351193445,0.03166254890941288,0.01900177081234691,0.05744006277370715,0.006743932051703479,0.0005938053378858409,0.04368710700160115,0.06557307516939358,0.03449372793111858,0.0,0.05819292311281241,0.07097034154410595,0.02596837986575758,0.0005513906708939951,0.00029690266894292046,0.00013784766772349878,0.0,0.011536789421782052,0.0016647756794299468,0.0,0.02956302289331651,0.009119153403246844,0.00976597707487249,0.0008695006733328385,0.0011557996755277974,0.0,0.0,0.00520640037324907,0.0,0.0,0.0003075063356908819,0.0,0.0,0.0,0.002629709353494438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kymouse 2,0.1485540974745503,0.04142217951412871,0.0,0.006065883907390168,0.11411669319239663,0.0171045914537101,0.02035374313083691,0.005038887721089457,0.03899582595117264,0.05071319179604216,0.00598180234827783,0.02726644845500135,0.0020239632443470167,0.026275487222605927,0.0017416894387555929,0.04302573496291403,0.0257049337857722,0.021086453860244436,0.04154229602714633,0.008023783069577491,0.0005225068316266778,0.059061289450767246,0.04384853307708477,0.03683372871685535,0.0,0.060766943935617546,0.06219032461487643,0.02846160775952674,0.0011951593045253896,0.0006186000420407796,0.0003483378877511186,0.0,0.009837542416143659,0.0030990060358547793,1.2011651301762709e-05,0.01830575658388637,0.004510375063811897,0.013326927119305727,0.0011771418275727456,0.002234167142127864,0.0,0.0,0.0038797633704693553,0.0,0.0,0.0025104351220684063,0.0,0.0,0.0,0.0022221554908261015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kymouse 3,0.13587414428646657,0.04031068983675619,0.0,0.00673600140424785,0.09927593470247499,0.03265753905564332,0.01838687028260488,0.005656485869756012,0.037870809197823416,0.06079076707038792,0.007302088818676496,0.014296998420221169,0.003536949271546428,0.03295155344918378,0.0017114270668773038,0.020923292961207655,0.040244865718799365,0.033934526944005616,0.0453484289977181,0.009246094435667896,0.0006187467087941022,0.05377830437072143,0.036352466210286115,0.03248639634895559,0.0,0.07560119361067229,0.058855538002457436,0.027036159382130946,0.0010970686326136562,0.0004037212568018255,0.00042127435492364404,0.0,0.011743022643496578,0.0015007898894154818,4.388274530454625e-06,0.02192381955415131,0.00333947691767597,0.013353519396173425,0.0007240652975250132,0.00140424784974548,0.0,0.0,0.005243988063893278,0.0,4.388274530454625e-06,0.0024574337370545903,0.0,0.0,0.0,0.0045945234333859926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kymouse 4,0.2096782709704671,0.0477929529374494,0.0,0.0025344081101059523,0.1026171283748108,0.024956879862015557,0.010824034636910838,0.0017512056038579324,0.024076877046006546,0.037004118413178924,0.005860818754620015,0.02450807842585096,0.0015048048153754091,0.026848885916434934,0.0026048083353866734,0.025291280932098984,0.024587278679291773,0.01980886338836284,0.056874581998662396,0.004813615403569291,0.00039600126720405504,0.04617374775599282,0.04274173677355768,0.042812136998838395,0.0,0.06694181421380549,0.05082896265268049,0.024719279101693126,0.001020803266570453,0.00039600126720405504,9.680030976099124e-05,0.0,0.010436833397866873,0.001170403745291985,1.7600056320180223e-05,0.028899292477735927,0.0057112182758984826,0.015074448238234362,0.0007744024780879299,0.0025256080819458624,0.0,0.0,0.004039212925481361,0.0,0.0,0.0005104016332852265,0.0,0.0,0.0,0.0007744024780879299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kymouse 5,0.09346100129597242,0.058104860525686676,0.0,0.003221057664481548,0.10308642751991143,0.034777356971199214,0.014029215999597368,0.002428375504863042,0.03533097625728198,0.044616681555670196,0.008316871547743371,0.0341230796331014,0.0017237691407577034,0.01993029429897958,0.0016608578582482983,0.03358204260352052,0.02990802370497125,0.01979188947745889,0.06221925840180178,0.008140719956717038,0.00046554349056959874,0.04696956352152195,0.052581249921360894,0.048957560048819154,0.0,0.0838481573285353,0.05163758068371982,0.03052455427356342,0.0005662015425846471,0.0008430111856260301,0.00010065805201504838,0.0,0.011626005007738088,0.0007800999031166249,0.0,0.032009260540785386,0.007272544258087246,0.015274859393283591,0.0008555934421279112,0.0018999207317840381,0.0,0.0,0.003988575311096292,0.0,0.0,0.0006794418511015765,0.0,0.0,0.0,0.0006668595945996956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kymouse 6,0.2096436543643955,0.04832814795109934,0.0,0.007564104046911324,0.12291090780814472,0.020564185008269623,0.015955170539318306,0.005060084893767132,0.02421901204011057,0.041510044991383395,0.00748314268861105,0.01629058188084801,0.0033772452319542914,0.02735337319716404,0.0016134442118411769,0.020517921374955183,0.03042412185841015,0.01897387261308567,0.04674361851007969,0.005944876880905842,0.0005956442789234452,0.043701784619655105,0.04582991175211945,0.033830281861185967,0.0,0.05929262904662218,0.051543470466453085,0.018829298758978038,0.0013879089994332705,0.0007228692705381618,0.0004626363331444235,0.0,0.012560576444871099,0.001439955586912018,5.782954164305294e-06,0.02059309977909115,0.0033309815986398493,0.01388487294849701,0.0015787464868553451,0.0018042816992632517,5.782954164305294e-06,0.0,0.007251824522038838,0.0,1.734886249291588e-05,0.004105897456656758,0.0,0.0,0.0,0.0027469032280450145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kymouse 7,0.12905216912454387,0.04227508456832334,0.0,0.005567288548934651,0.11673756891032429,0.03185457274086087,0.06566979927504221,0.008266213215048623,0.03210268016532426,0.04415101875329045,0.008151236603711929,0.019207145493824546,0.001597569757520378,0.02530695729526599,0.0013978735378303308,0.022844037252422074,0.031207072877017385,0.01791819716673424,0.07389970408651082,0.005137639106571216,0.000550677454296797,0.046299265965107625,0.04267447700770343,0.0356427495143751,0.0,0.04803601793635137,0.05941265105808739,0.021161747886548343,0.0010589951044169172,0.0005083176501201203,0.00030862143043007307,0.0,0.013597497140713219,0.0011134577097869302,6.051400596668099e-06,0.019431047315901267,0.0026505134613406273,0.01340385232161984,0.0007685278757768486,0.001282896926493637,0.0,0.0,0.004096798203944303,0.0,0.0,0.003370630132344131,0.0,0.0,0.0,0.002281378024943873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
